carIndex,make,model,reg,colour,miles,price,dealer,town,telephone,description,region
1,Isuzu,Trooper,K,green,65000,9995,Hudson Used Cars,Clacton on Sea,01255 423161,VGC,E
2,Jeep,Cherokee,M,black,34000,15750,Cars R Us,Kingsbridge,01548 531817,aircon,W
3,Jeep,Cherokee,K,red,45000,7995,Off Road Sales,Torquay,01803 323014,aircon,SW
4,Kia,Pride,K,white,36000,1850,Rook Used Cars,Exeter,01392 460753,VGC,SW
5,Kia,Pride,M,blue,14000,3400,South West Cars,Plymouth,01752 561797,3 door,SW
6,Kia,Pride,P,red,28000,4150,Rook Used Cars,Exeter,01392 460753,3 door,SW
7,Kia,Pride,R,pale blue,1650,5700,Hansen,Torquay,01803 882597,3 door,SW
8,Lexus,LS 400,J,blue,56000,14500,Weldit Used Cars,Inverness,01463 741514,VGC,N
9,Lexus,LS400,J,grey,102000,13950,Bodgit Quality Cars,Southport,01704 567854,aircon,NW
10,Lotus,Elan,V,yellow,100000,4250,Sports Cars,Nottingham,01158 678954,MOT,C
11,Lotus,Elite,X,black,80000,2900,Sports Cars,Nottingham,01158 678954,MOT,C
12,Lotus,Eclat,A,red,71000,2750,GMV ltd,Gloucester,01452 732145,VGC,W
13,VW,Golf Gti,B,grey,102000,700,Weldit Used Cars,Inverness,01463 741514,MOT,N
14,VW,Passat,Y,blue,122000,295,Tidy Cars,Peterborough,01733 231456,VGC,E
15,Daewoo,Espero,P,pink,3500,4500,Hudson Used Cars,Clacton on Sea,01255 423161,aircon,E
16,Daewoo,Nexia,N,green,65000,7499,Bodgit Quality Cars,Southport,01704 567854,MOT,NW
17,Daewoo,Nexia,P,yellow,10000,6300,Prestige Carriages,Tunbridge Wells,01892 531248,aircon,SE
18,VW,Polo,D,red,85000,1050,Futter's Farm Vehicles,Kings Lynn,01533 778965,VGC,E
19,Volvo,360,A,grey,125000,495,Skye Wheels,Portree,01487 456321,MOT,N
20,Volvo,850,L,green,67300,10300,Fixitt Car Dealers,Portree,01478 576894,MOT,N
21,Vauxhall,Corsa,P,green,35000,7000,Tidy Cars,Peterborough,01733 231456,3 door,E
22,Vauxhall,Cavalier,F,white,86000,1250,Tidy Cars,Peterborough,01733 231456,VGC,E
23,Vauxhall,Cavalier,F,red,56000,1600,Stephenson Ltd,Chelmsford,01245 678954,MOT,E
24,Vauxhall,Corsa,M,blue,18000,8500,Fixitt Car Dealers,Portree,01478 576894,VGC,N
25,Ford,Escort,N,red,18000,10500,Weldit Used Cars,Inverness,01463 741514,VGC,N
26,Ford,Escort,M,blue,21000,8000,Tidy Cars,Peterborough,01733 231456,aircon,E
27,Ford,Escort,G,white,65000,1550,Hudson Used Cars,Clacton on Sea,01255 423161,aircon,E
28,Ford,Escort,H,green,55000,2000,Bodgit Quality Cars,Southport,01704 567854,VGC,NW
29,Ford,Escort,K,yellow,85000,1250,Prestige Carriages,Tunbridge Wells,01892 531248,3 door,SE
30,Ford,Escort,N,red,24000,12550,Futter's Farm Vehicles,Kings Lynn,01533 778965,3 door,E
31,Ford,Escort,M,pink,10000,11995,Skye Wheels,Portree,01487 456321,3 door,N
32,Ford,Fiesta,D,white,65000,999,Fixitt Car Dealers,Portree,01478 576894,VGC,N
33,Ford,Fiesta,D,grey,45000,1250,Tidy Cars,Peterborough,01733 231456,aircon,E
34,Ford,Fiesta,F,red,35000,2199,Tidy Cars,Peterborough,01733 231456,MOT,E
35,Ford,Fiesta,N,blue,12000,7500,Stephenson Ltd,Chelmsford,01245 678954,MOT,E
36,Ford,Fiesta,M,white,27000,7599,Fixitt Car Dealers,Portree,01478 576894,VGC,N
37,Ford,Fiesta,P,green,12000,8599,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
38,Ford,Fiesta,P,yellow,10000,11500,South West Cars,Plymouth,01752 561797,VGC,SW
39,Ford,Fiesta,N,red,19000,8599,Off Road Sales,Torquay,01803 323014,aircon,SW
40,Ford,Fiesta,M,pink,6000,7999,Rook Used Cars,Exeter,01392 460753,MOT,SW
41,Ford,Fiesta,D,white,45000,1100,Hansen,Torquay,01803 882597,aircon,SW
42,Ford,Fiesta,D,grey,45400,999,Rook Used Cars,Exeter,01392 460753,VGC,SW
64,Ford,Mondeo,M,green,24000,9999,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
65,Ford,Mondeo,P,yellow,11000,8000,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
66,Ford,Mondeo,P,red,34000,8999,Daves Used Cars,Gravesend,01474 876098,VGC,SE
67,Ford,Mondeo,P,pink,22000,11999,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
68,Ford,Mondeo,M,white,28000,15500,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
69,Peugeot,106,N,grey,18000,7500,Daves Used Cars,Gravesend,01474 876098,3 door,SE
70,Peugeot,106,N,red,21000,7500,Wrights Quality Cars,Liverpool,01514 567843,VGC,NW
71,Peugeot,106,P,blue,13000,8550,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
72,Peugeot,106,P,white,11000,7500,Acme Autos,Colchester,01206 452345,VGC,E
73,Peugeot,306,M,green,25500,5400,Acme Autos,Colchester,01206 452345,VGC,E
74,Peugeot,306,M,yellow,15400,4999,University Motors,Cambridge,01223 768956,aircon,C
75,Peugeot,306,L,red,27000,3999,University Motors,Cambridge,01223 768956,aircon,C
76,Peugeot,405,L,pink,45000,1750,Smith Autos,Cambridge,01223 654318,VGC,C
77,Peugeot,405,G,white,65500,1500,Station Cars,Manchester,01617 453678,3 door,NW
78,Peugeot,405,J,grey,35000,1250,Station Cars,Manchester,1618 453678,3 door,NW
79,Peugeot,605,L,red,85000,6500,Smith Autos,Cambridge,01223 654318,3 door,C
80,Peugeot,205,D,blue,65500,750,Smith Autos,Cambridge,01223 654318,VGC,C
81,Peugeot,205,D,white,55400,500,Daves Used Cars,Gravesend,01474 876098,aircon,SE
82,Peugeot,205,C,green,35000,550,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
83,Peugeot,205,F,yellow,30500,1100,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
84,Peugeot,406,P,red,18000,13500,Daves Used Cars,Gravesend,01474 876098,VGC,SE
85,Peugeot,406,P,pink,22000,10500,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
86,Renault,11,G,white,65500,750,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
87,Renault,11,H,grey,35400,1250,Daves Used Cars,Gravesend,01474 876098,aircon,SE
88,Renault,11,J,red,48500,1250,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
89,Renault,11,K,blue,25000,1100,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
90,Renault,21,L,white,85000,1299,Acme Autos,Colchester,01206 452345,VGC,E
91,Renault,21,D,green,105000,750,Acme Autos,Colchester,01206 452345,MOT,E
92,Renault,21,F,yellow,25500,899,University Motors,Cambridge,01223 768956,MOT,C
93,Renault,Clio,G,red,64500,1250,University Motors,Cambridge,01223 768956,3 door,C
94,Renault,Clio,N,pink,12000,7599,Smith Autos,Cambridge,01223 654318,VGC,C
95,Renault,Clio,N,white,10500,8500,Weldit Used Cars,Inverness,01463 741514,MOT,N
96,Renault,Clio,M,grey,6500,7500,Tidy Cars,Peterborough,01733 231456,VGC,E
97,Renault,Clio,P,red,15500,9500,Hudson Used Cars,Clacton on Sea,01255 423161,VGC,E
98,Renault,Clio,F,blue,35400,750,Bodgit Quality Cars,Southport,01704 567854,aircon,NW
99,Renault,Espace,F,white,105500,650,Weldit Used Cars,Inverness,01463 741514,aircon,N
100,Renault,Espace,G,green,75600,1250,Tidy Cars,Peterborough,01733 231456,VGC,E
101,Renault,Espace,H,yellow,35650,1199,Hudson Used Cars,Clacton on Sea,01255 423161,3 door,E
